Period,Mean_Return,Variance,Target_Return
1,-0.000385123,0.000477935,0
2,0.00667558,0.000395598,0
3,0.0124597,0.00105755,0
4,0.00269421,0.000648063,0
5,0.00904297,0.000692588,0
6,-0.0121908,0.000874669,0
7,-0.00323234,0.000803141,0
8,0.00414467,0.00122901,0
9,0.0166303,0.00104591,0
10,0.00763267,0.000399748,0
11,0.00466936,0.000335916,0
12,-0.0086606,0.00132599,0
13,0.0145606,0.000434452,0
14,-0.00196028,0.00118946,0
15,0.00389865,0.000903718,0
16,0.0110473,0.00148829,0
17,0.00551468,0.000913779,0
18,0.0078289,0.00199566,0
19,0.012114,0.00299075,0
20,-0.00487518,0.00964474,0
21,-0.0561659,0.00628797,0
22,0.00233324,0.00432603,0
23,0.00999864,0.00100403,0
24,-0.000151664,0.000693157,0
25,-0.00424899,0.000996137,0
26,0.00101342,0.00102074,0
27,-0.00153079,0.000527562,0
28,-0.0060059,0.000488159,0
29,0.000427748,0.00109564,0
30,0.00720091,0.000285633,0
31,0.00947797,0.000598034,0
32,-0.00259024,0.000805664,0
33,-0.00633281,0.00102296,0
34,-0.00273522,0.000843296,0
35,0.0030519,0.00137154,0
36,0.00231639,0.000251636,0
37,-0.00883902,0.000698771,0
38,0.0100407,0.000334689,0
39,-0.00877928,0.000192319,0
40,0.00773008,0.000379246,0
41,0.00315958,0.000478995,0
42,0.00412978,0.000974317,0
43,-0.00114299,0.000615106,0
44,0.00795144,0.000778854,0
45,-0.000214416,0.000241645,0
46,0.00101082,0.00233302,0
47,0.0100369,0.000761152,0
48,0.00270517,0.000766328,0
49,-0.000748665,0.000215039,0
50,0.00750076,0.000758811,0

1,0.00695646,0.00101382,0.005
2,0.00458216,0.000198094,0.005
3,0.0102824,0.000614129,0.005
4,0.00379206,0.000237111,0.005
5,0.0168328,0.000787394,0.005
6,-0.00410132,0.000253113,0.005
7,-0.00451281,0.000391081,0.005
8,0.00335036,0.00200514,0.005
9,0.0108104,0.000361907,0.005
10,0.00550416,0.000379247,0.005
11,0.0140134,0.000891356,0.005
12,-0.00786891,0.001279,0.005
13,0.00642737,0.00102277,0.005
14,0.00308779,0.00181942,0.005
15,0.00938353,0.00125732,0.005
16,0.0117452,0.000974546,0.005
17,0.00641841,0.00148463,0.005
18,0.00399611,0.00394662,0.005
19,-0.00351773,0.00825505,0.005
20,-0.00557747,0.0144439,0.005
21,-0.0458438,0.00260253,0.005
22,-4.38118e-05,0.00378423,0.005
23,-0.0023409,0.00102057,0.005
24,-0.00252343,0.00163185,0.005
25,-0.00426514,0.00205146,0.005
26,0.00204481,0.0014937,0.005
27,-0.00583297,0.000652794,0.005
28,-0.0108246,0.000597662,0.005
29,0.00121108,0.000734632,0.005
30,0.00177336,0.000547669,0.005
31,0.00951625,0.000718882,0.005
32,-0.0110534,0.00213358,0.005
33,0.00249056,0.00125716,0.005
34,0.00255335,0.00172355,0.005
35,0.00830922,0.00159849,0.005
36,-0.00171879,0.000251595,0.005
37,-0.00746221,0.000712617,0.005
38,0.0140954,0.000970161,0.005
39,-0.0121963,0.000712099,0.005
40,0.00785131,0.000571886,0.005
41,0.00755534,0.000598907,0.005
42,0.0134922,0.000829081,0.005
43,0.00110277,0.00112391,0.005
44,0.00655972,0.000798618,0.005
45,0.00361538,0.000459443,0.005
46,0.00531665,0.00219053,0.005
47,-0.000750398,0.00054992,0.005
48,0.00441623,0.000983728,0.005
49,0.00297753,0.000375542,0.005
50,0.0108129,0.00146997,0.005

1,0.0143693,0.0017503,0.01
2,0.0024873,0.000403623,0.01
3,0.00769814,0.00038065,0.01
4,0.00483428,0.000441378,0.01
5,0.0245729,0.00143071,0.01
6,0.00362605,0.000677892,0.01
7,-0.00490583,0.000701268,0.01
8,0.00252853,0.00386243,0.01
9,0.00506592,0.00062141,0.01
10,0.00423943,0.00113171,0.01
11,0.0230835,0.00285735,0.01
12,-0.00640309,0.00324145,0.01
13,-0.00135661,0.00226293,0.01
14,0.00834028,0.00308908,0.01
15,0.0146292,0.00241956,0.01
16,0.0129607,0.00119257,0.01
17,0.00724186,0.00315687,0.01
18,0.000252448,0.0101231,0.01
19,-0.0191269,0.0197623,0.01
20,-0.00605625,0.0216977,0.01
21,-0.0348929,0.008825,0.01
22,-0.00236418,0.00459816,0.01
23,-0.014596,0.00226747,0.01
24,-0.00487467,0.00322718,0.01
25,-0.00430125,0.00372178,0.01
26,0.0030916,0.00233221,0.01
27,-0.00976339,0.00127446,0.01
28,-0.0154163,0.00088792,0.01
29,0.00209428,0.00064699,0.01
30,-0.00438564,0.00116944,0.01
31,0.00908197,0.00187217,0.01
32,-0.0194345,0.00513715,0.01
33,0.0114167,0.00200015,0.01
34,0.00795644,0.0033462,0.01
35,0.0136964,0.00204458,0.01
36,-0.00584647,0.000455103,0.01
37,-0.00602019,0.00101695,0.01
38,0.0180495,0.00217356,0.01
39,-0.0146046,0.00214597,0.01
40,0.00802413,0.00119472,0.01
41,0.0120028,0.00100568,0.01
42,0.0230633,0.000979709,0.01
43,0.00248794,0.00247544,0.01
44,0.00495538,0.00127754,0.01
45,0.00758385,0.00109607,0.01
46,0.00943799,0.00231833,0.01
47,-0.012958,0.00130954,0.01
48,0.0050948,0.00174917,0.01
49,0.00513845,0.00151592,0.01
50,0.0143896,0.0029316,0.01

1,0.0218702,0.00265113,0.015
2,0.000551541,0.00107533,0.015
3,0.00502759,0.000401193,0.015
4,0.00578795,0.00127457,0.015
5,0.0324652,0.00265086,0.015
6,0.0114409,0.00211078,0.015
7,-0.00623943,0.00163524,0.015
8,0.00207597,0.00678733,0.015
9,-0.000411767,0.00174392,0.015
10,0.00237335,0.00262475,0.015
11,0.0325279,0.00629577,0.015
12,-0.00515938,0.00729862,0.015
13,-0.00944536,0.0041723,0.015
14,0.013723,0.00498155,0.015
15,0.0204813,0.00429864,0.015
16,0.0146092,0.00213105,0.015
17,0.00810538,0.00595983,0.015
18,-0.00361818,0.0200674,0.015
19,-0.034778,0.0377553,0.015
20,-0.00844287,0.0297958,0.015
21,-0.0233984,0.0249416,0.015
22,-0.00544082,0.00666874,0.015
23,-0.0268704,0.00470714,0.015
24,-0.00685465,0.00539761,0.015
25,-0.00429165,0.00609101,0.015
26,0.00414593,0.00354488,0.015
27,-0.0131579,0.00231654,0.015
28,-0.0201179,0.00138532,0.015
29,0.00301859,0.000904268,0.015
30,-0.0105029,0.00220655,0.015
31,0.00885872,0.00402407,0.015
32,-0.0279123,0.00981115,0.015
33,0.0202523,0.00327548,0.015
34,0.0134126,0.00572158,0.015
35,0.0189994,0.00267512,0.015
36,-0.0101499,0.000836378,0.015
37,-0.00456045,0.00161161,0.015
38,0.0216172,0.00395254,0.015
39,-0.0167514,0.0043636,0.015
40,0.00825495,0.00224439,0.015
41,0.0165831,0.00166592,0.015
42,0.0324985,0.00145596,0.015
43,0.00391236,0.00462102,0.015
44,0.00313135,0.00221013,0.015
45,0.0115079,0.00206967,0.015
46,0.0133633,0.00287051,0.015
47,-0.025434,0.0030387,0.015
48,0.00572896,0.00300457,0.015
49,0.00772569,0.00364142,0.015
50,0.0174579,0.00507922,0.015

1,0.0292799,0.00380424,0.02
2,-0.00195211,0.00178633,0.02
3,0.00238718,0.000703193,0.02
4,0.00692511,0.00270165,0.02
5,0.0400281,0.00437461,0.02
6,0.019366,0.00456068,0.02
7,-0.00685346,0.00313405,0.02
8,0.001203,0.0109201,0.02
9,-0.00586644,0.00374107,0.02
10,0.000465716,0.00465437,0.02
11,0.0416562,0.0110063,0.02
12,-0.00424729,0.0133951,0.02
13,-0.0176022,0.00675667,0.02
14,0.0189097,0.00747521,0.02
15,0.026188,0.00707143,0.02
16,0.0161504,0.00374826,0.02
17,0.00916564,0.00985687,0.02
18,-0.00765277,0.0343957,0.02
19,-0.050361,0.062063,0.02
20,-0.00727631,0.0428641,0.02
21,-0.0128451,0.0503139,0.02
22,-0.00832226,0.0100359,0.02
23,-0.0390505,0.00833728,0.02
24,-0.00965038,0.00839091,0.02
25,-0.00427342,0.00901158,0.02
26,0.00557851,0.00521971,0.02
27,-0.0174257,0.00400838,0.02
